"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12319","TC_06_SND_PI_CreateTest","chromium","2026-05-11","passed","2026-05-11","","TC_06_SND_PI_CreateTest.spec.js","",""
"","13898","TC_05_SND_Order_ApprovalPendingOrderTest","chromium","2026-05-11","passed","2026-05-11","","TC_05_SND_Order_ApprovalPendingOrderTest.spec.js","",""
"","18255","TC_08_SND_PI_Picking_CreateTest","chromium","2026-05-11","passed","2026-05-11","","TC_08_SND_PI_Picking_CreateTest.spec.js","",""
"","17155","TC_010_SND_PI_CollectionSummery_CreateTest","chromium","2026-05-11","passed","2026-05-11","","TC_010_SND_PI_CollectionSummery_CreateTest.spec.js","",""
