"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12746","TC_08_SND_PI_Picking_CreateTest","chromium","2026-05-14","failed","2026-05-14","","TC_014_SND_PI_Picking_CreateTest.spec.js","",""
"","13338","TC_05_SND_Order_ApprovalPendingOrderTest","chromium","2026-05-14","passed","2026-05-14","","TC_010_SND_Order_ApprovalPendingOrderTest.spec.js","",""
"","12571","TC_010_SND_PI_CollectionSummery_CreateTest","chromium","2026-05-14","failed","2026-05-14","","TC_016_SND_PI_CollectionSummery_CreateTest.spec.js","",""
